name,score,brewer,abv,link,note
Pseudo Sue,100.0,Toppling Goliath Brewing Company,5.8,https://www.beeradvocate.com/beer/profile/23222/72170/,"multiple results, guessed best match"
Rochefort 10,100.0,Brasserie De Rochefort,11.3,https://www.beeradvocate.com/beer/profile/207/645/,"multiple results, guessed best match"
Breakfast Brew,100.0,Canned Heat Craft Beer Company,8.3,https://www.beeradvocate.com/beer/profile/1199/11757/,"multiple results, guessed best match"
Sam Utopias,100.0,Boston Beer Company,28.0,https://www.beeradvocate.com/beer/profile/35/25759/,"multiple results, guessed best match"
Abt 12,99.0,Brouwerij St Bernardus,10.0,https://www.beeradvocate.com/beer/profile/259/1708/,"multiple results, guessed best match"
Second Fiddle,99.0,Fiddlehead Brewing Company,8.2,https://www.beeradvocate.com/beer/profile/27919/127652/,"multiple results, guessed best match"
Hefeweissbier,98.0,Brauerei Weihenstephan,5.4,https://www.beeradvocate.com/beer/profile/252/731/,"multiple results, guessed best match"
Softly Spoken Magic Spells,98.0,Singlecut Beersmiths,8.6,http://www.beeradvocate.com/search/?q=Softly+Spoken+Magic+Spells&qt=beer,
Caractere Rouge,98.0,Brouwerij Rodenbach,7.0,http://www.beeradvocate.com/search/?q=Caractere+Rouge&qt=beer,
Peche Mortel,98.0,Brasserie Dieu Du Ciel,9.5,https://www.beeradvocate.com/beer/profile/1141/10325/,"multiple results, guessed best match"
Crunch,98.0,Shovel Town Brewery,13.6,https://www.beeradvocate.com/beer/profile/33824/290407/,"multiple results, guessed best match"
Xocoveza,97.0,Stone Brewing Company,8.1,https://www.beeradvocate.com/beer/profile/147/128500/,"multiple results, guessed best match"
Boss Tweed,97.0,Old Nation Brewing Company,9.3,https://www.beeradvocate.com/beer/profile/41783/280767/,"multiple results, guessed best match"
Farm To Face,97.0,Allagash Brewing Company,5.7,https://www.beeradvocate.com/beer/profile/4/132991/,"multiple results, guessed best match"
Imperial Stout,97.0,Samuel Smith Old Brewery,10.5,https://www.beeradvocate.com/beer/profile/1199/21822/,"multiple results, guessed best match"
La Fin Du Monde,97.0,Unibroue,9.0,https://www.beeradvocate.com/beer/profile/22/34/,"multiple results, guessed best match"
Rodenbach Alexander,97.0,Brouwerij Rodenbach,5.6,http://www.beeradvocate.com/search/?q=Rodenbach+Alexander&qt=beer,
Rochefort 8,97.0,Brasserie De Rochefort,9.2,https://www.beeradvocate.com/beer/profile/207/1696/,"multiple results, guessed best match"
Celebrator,97.0,Brauerei Ayinger,6.7,https://www.beeradvocate.com/beer/profile/39/131/,"multiple results, guessed best match"
Pick Your Own,96.0,Allagash Brewing Company,6.4,http://www.beeradvocate.com/search/?q=Pick+Your+Own&qt=beer,
Scorpius Morchella,96.0,Toppling Goliath Brewing Company,7.8,http://www.beeradvocate.com/search/?q=Scorpius+Morchella&qt=beer,
Coolship Resurgam,96.0,Allagash Brewing Company,6.3,http://www.beeradvocate.com/search/?q=Coolship+Resurgam&qt=beer,
Kiwi Rising,96.0,Jack\'s Abby Craft Lagers,8.5,https://www.beeradvocate.com/beer/profile/26520/75414/,"multiple results, guessed best match"
Founders Porter,96.0,Founders Brewing Company,8.7,https://www.beeradvocate.com/beer/profile/1199/92648/,"multiple results, guessed best match"
Cuvee Des Jacobins,96.0,Brouwerij Bockor,5.5,https://www.beeradvocate.com/beer/profile/223/50772/,"multiple results, guessed best match"
Daisy Cutter,96.0,Half Acre Beer Company,8.0,https://www.beeradvocate.com/beer/profile/18006/72269/,"multiple results, guessed best match"
Fantome Saison,96.0,Brasserie Fantome,8.0,https://www.beeradvocate.com/beer/profile/738/5057/,"multiple results, guessed best match"
Old Rasputin,96.0,North Coast Brewing Company,9.0,https://www.beeradvocate.com/beer/profile/112/412/,"multiple results, guessed best match"
Grapefruit Sculpin,96.0,Ballast Point Brewing Company,7.0,http://www.beeradvocate.com/search/?q=Grapefruit+Sculpin&qt=beer,
Magnus,96.0,Foundation Brewing Company,13.5,https://www.beeradvocate.com/beer/profile/42273/262918/,"multiple results, guessed best match"
Chimay Blue,96.0,Chimay Brewery,9.0,http://www.beeradvocate.com/search/?q=Chimay+Blue&qt=beer,
Chimay Grande Reserve,96.0,Chimay Brewery,9.0,https://www.beeradvocate.com/beer/profile/215/2512/,"multiple results, guessed best match"
Curieux,96.0,Allagash Brewing Company,11.0,https://www.beeradvocate.com/beer/profile/4/16909/,"multiple results, guessed best match"
Duvel,95.0,Duvel Moortgat,8.5,https://www.beeradvocate.com/beer/profile/222/695/,"multiple results, guessed best match"
Nancy,95.0,Allagash Brewing Company,6.3,https://www.beeradvocate.com/beer/profile/4/121053/,"multiple results, guessed best match"
Vitus,95.0,Brauerei Weihenstephan,7.7,https://www.beeradvocate.com/beer/profile/252/35625/,"multiple results, guessed best match"
Trois Pistoles,95.0,Unibroue,9.0,https://www.beeradvocate.com/beer/profile/22/30/,"multiple results, guessed best match"
Dragon Fandango,95.0,Toppling Goliath Brewing Company,5.0,https://www.beeradvocate.com/beer/profile/23222/297086/,"multiple results, guessed best match"
Vitus,95.0,Brauerei Weihenstephaner,7.7,https://www.beeradvocate.com/beer/profile/252/35625/,"multiple results, guessed best match"
Lizard King,95.0,Pipeworks Brewing Company,6.0,https://www.beeradvocate.com/beer/profile/28178/155168/,"multiple results, guessed best match"
Jai Alai,95.0,Cigar City Brewing Company,7.5,https://www.beeradvocate.com/beer/profile/17981/46363/,"multiple results, guessed best match"
90 Minute Ipa,95.0,Dogfish Head Craft Brewery,9.0,https://www.beeradvocate.com/beer/profile/64/2093/,"multiple results, guessed best match"
Tart Of Darkness,95.0,Bruery Terreux,7.2,https://www.beeradvocate.com/beer/profile/40927/70286/,"multiple results, guessed best match"
La Trappe Quadrupel,95.0,Brouwerij De Koningshoeven,11.0,https://www.beeradvocate.com/beer/profile/184/53946/,"multiple results, guessed best match"
Andechser Doppelbock Dunkel,95.0,Andechs,7.1,http://www.beeradvocate.com/search/?q=Andechser+Doppelbock+Dunkel&qt=beer,
Aventinus Eisbock,95.0,Schneider & Sohn,12.0,https://www.beeradvocate.com/beer/profile/72/1934/,"multiple results, guessed best match"
Ninja Vs Unicorn,95.0,Pipeworks Brewing Company,8.0,https://www.beeradvocate.com/beer/profile/28178/77708/,"multiple results, guessed best match"
Hefeweissbier Dunkel,95.0,Brauerei Weihenstephan,5.3,https://www.beeradvocate.com/beer/profile/252/808/,"multiple results, guessed best match"
Derivative: Galaxy,95.0,Proclamation Ale Company,6.0,http://www.beeradvocate.com/search/?q=Derivative:+Galaxy&qt=beer,
Tripel Karmeliet,95.0,Brouwerij Bosteels,8.4,http://www.beeradvocate.com/search/?q=Tripel+Karmeliet&qt=beer,
Two Hearted Ale,95.0,Bell\'s Brewery,7.0,https://www.beeradvocate.com/beer/profile/287/1093/,"multiple results, guessed best match"
Two Hearted,95.0,Bell\'s Brewery,7.0,https://www.beeradvocate.com/beer/profile/287/1093/,"multiple results, guessed best match"
Heavy Boots Of Lead,95.0,Singlecut Beersmiths,11.2,https://www.beeradvocate.com/beer/profile/30452/176075/,"multiple results, guessed best match"
Cerise Cassee,94.0,Cambridge Brewing Company,9.0,http://www.beeradvocate.com/search/?q=Cerise+Cassee&qt=beer,
Saison Dupont,94.0,Brasserie Dupont,6.5,https://www.beeradvocate.com/beer/profile/637/1717/,"multiple results, guessed best match"
Union Jack,94.0,Firestone Walker Brewing Company,7.0,https://www.beeradvocate.com/beer/profile/2210/38180/,"multiple results, guessed best match"
Aun Mas Chili Jesus,94.0,Evil Twin Brewing,12.0,http://www.beeradvocate.com/search/?q=Aun+Mas+Chili+Jesus&qt=beer,
Petite Sour Blueberry,94.0,Crooked Stave Artisan Beer Project,4.5,https://www.beeradvocate.com/beer/profile/25191/126891/,"multiple results, guessed best match"
Achel Extra,94.0,Brouwerij Achelse,9.5,https://www.beeradvocate.com/beer/profile/922/40681/,"multiple results, guessed best match"
Duchesse De Bourgogne,94.0,Brouwerij Verhaeghe,6.2,http://www.beeradvocate.com/search/?q=Duchesse+De+Bourgogne&qt=beer,
Oatmeal Stout,94.0,The People\'s Pint,5.0,https://www.beeradvocate.com/beer/profile/113/571/,"multiple results, guessed best match"
Double Ipa,94.0,The People\'s Pint,8.5,https://www.beeradvocate.com/beer/profile/396/7284/,"multiple results, guessed best match"
Maudite,94.0,Unibroue,8.0,http://www.beeradvocate.com/search/?q=Maudite&qt=beer,
Orval Trappist Ale,94.0,Brasserie D\'orval,6.9,http://www.beeradvocate.com/search/?q=Orval+Trappist+Ale&qt=beer,
Juice Bomb,94.0,Sloop Brewing Company,6.5,https://www.beeradvocate.com/beer/profile/30081/217327/,"multiple results, guessed best match"
Vanilla Noir,94.0,Prairie Artisan Ales,13.7,https://www.beeradvocate.com/beer/profile/30356/107834/,"multiple results, guessed best match"
Hoponius Union,94.0,Jack\'s Abby Craft Lagers,6.5,https://www.beeradvocate.com/beer/profile/26520/71820/,"multiple results, guessed best match"
Excess Ipl,94.0,Jack\'s Abby Craft Lagers,7.2,https://www.beeradvocate.com/beer/profile/26520/168450/,"multiple results, guessed best match"
Oatmeal Stout,94.0,Ipswich Ale Brewery,5.0,https://www.beeradvocate.com/beer/profile/113/571/,"multiple results, guessed best match"
Vt Ipa,94.0,Long Trail Brewing Company,6.9,https://www.beeradvocate.com/beer/profile/147/88/,"multiple results, guessed best match"
Oude Gueuze Tilquin,94.0,Gueuzerie Tilquin,7.6,https://www.beeradvocate.com/beer/profile/25923/140278/,"multiple results, guessed best match"
Wandering Thoughts,94.0,Exhibit \'a\' Brewing Company,7.7,http://www.beeradvocate.com/search/?q=Wandering+Thoughts&qt=beer,
Korbinian,94.0,Brauerei Weihenstephan,7.4,https://www.beeradvocate.com/beer/profile/252/779/,"multiple results, guessed best match"
Oatmeal Stout,94.0,Samuel Smith Old Brewery,5.0,https://www.beeradvocate.com/beer/profile/113/571/,"multiple results, guessed best match"
Barn Beer,93.0,Plan Bee Farm Brewery,5.5,https://www.beeradvocate.com/beer/profile/33607/220109/,"multiple results, guessed best match"
Racer 5,93.0,Bear Republic Brewing Company,7.5,https://www.beeradvocate.com/beer/profile/15240/2751/,"multiple results, guessed best match"
Can It Be All So Simple,93.0,Interboro Spirit & Ales,8.2,http://www.beeradvocate.com/search/?q=Can+It+Be+All+So+Simple&qt=beer,
Champs De Fraise,93.0,Firestone Walker Brewing Company,6.33,http://www.beeradvocate.com/search/?q=Champs+De+Fraise&qt=beer,
El Gourdo,93.0,Firestone Walker Brewing Company,5.8,https://www.beeradvocate.com/beer/profile/2210/142453/,"multiple results, guessed best match"
Boar,93.0,Canned Heat Craft Beer Company,6.6,https://www.beeradvocate.com/beer/profile/30654/255255/,"multiple results, guessed best match"
Arrogant Bastard,93.0,Stone Brewing Company,7.2,https://www.beeradvocate.com/beer/profile/43153/92/,"multiple results, guessed best match"
Three Philosophers,93.0,Brewery Ommegang,9.7,https://www.beeradvocate.com/beer/profile/42/3457/,"multiple results, guessed best match"
Bakery: Cherry Pie,93.0,The Bruery,10.2,http://www.beeradvocate.com/search/?q=Bakery:+Cherry+Pie&qt=beer,
