name,style,score,brewer,abv,link,note,category
Pseudo Sue,American Pale Ale (APA),100.0,Toppling Goliath Brewing Company,5.8,https://www.beeradvocate.com/beer/profile/23222/72170/,"multiple results, guessed best match",Ale
Breakfast Brew,English Oatmeal Stout,100.0,Canned Heat Craft Beer Company,8.3,https://www.beeradvocate.com/beer/profile/1199/11757/,"multiple results, guessed best match",Stout
Sam Utopias,American Strong Ale,100.0,Boston Beer Company,28.0,https://www.beeradvocate.com/beer/profile/35/25759/,"multiple results, guessed best match",Ale
Rochefort 10,Belgian Quadrupel (Quad),100.0,Brasserie De Rochefort,11.3,https://www.beeradvocate.com/beer/profile/207/645/,"multiple results, guessed best match",Other
Abt 12,Belgian Quadrupel (Quad),99.0,Brouwerij St Bernardus,10.0,https://www.beeradvocate.com/beer/profile/259/1708/,"multiple results, guessed best match",Other
Second Fiddle,American Imperial IPA,99.0,Fiddlehead Brewing Company,8.2,https://www.beeradvocate.com/beer/profile/27919/127652/,"multiple results, guessed best match",IPA
Softly Spoken Magic Spells,New England IPA,98.0,Singlecut Beersmiths,8.6,http://www.beeradvocate.com/search/?q=Softly+Spoken+Magic+Spells&qt=beer,,IPA
Peche Mortel,American Imperial Stout,98.0,Brasserie Dieu Du Ciel,9.5,https://www.beeradvocate.com/beer/profile/1141/10325/,"multiple results, guessed best match",Stout
Caractere Rouge,Flanders Red Ale,98.0,Brouwerij Rodenbach,7.0,http://www.beeradvocate.com/search/?q=Caractere+Rouge&qt=beer,,Ale
Crunch,American Imperial Stout,98.0,Shovel Town Brewery,13.6,https://www.beeradvocate.com/beer/profile/33824/290407/,"multiple results, guessed best match",Stout
Hefeweissbier,German Hefeweizen,98.0,Brauerei Weihenstephan,5.4,https://www.beeradvocate.com/beer/profile/252/731/,"multiple results, guessed best match",Other
Xocoveza,American Imperial Stout,97.0,Stone Brewing Company,8.1,https://www.beeradvocate.com/beer/profile/147/128500/,"multiple results, guessed best match",Stout
Farm To Face,American Wild Ale,97.0,Allagash Brewing Company,5.7,https://www.beeradvocate.com/beer/profile/4/132991/,"multiple results, guessed best match",Ale
Rodenbach Alexander,Flanders Red Ale,97.0,Brouwerij Rodenbach,5.6,http://www.beeradvocate.com/search/?q=Rodenbach+Alexander&qt=beer,,Ale
Celebrator,German Doppelbock,97.0,Brauerei Ayinger,6.7,https://www.beeradvocate.com/beer/profile/39/131/,"multiple results, guessed best match",Other
Imperial Stout,Russian Imperial Stout,97.0,Samuel Smith Old Brewery,10.5,https://www.beeradvocate.com/beer/profile/1199/21822/,"multiple results, guessed best match",Stout
La Fin Du Monde,Belgian Tripel,97.0,Unibroue,9.0,https://www.beeradvocate.com/beer/profile/22/34/,"multiple results, guessed best match",Other
Armand & Gaston,Belgian Gueuze,97.0,Drie Fonteinen,6.5,https://www.beeradvocate.com/beer/profile/2216/235041/,"multiple results, guessed best match",Other
Boss Tweed,New England IPA,97.0,Old Nation Brewing Company,9.3,https://www.beeradvocate.com/beer/profile/41783/280767/,"multiple results, guessed best match",IPA
Rochefort 8,Belgian Strong Dark Ale,97.0,Brasserie De Rochefort,9.2,https://www.beeradvocate.com/beer/profile/207/1696/,"multiple results, guessed best match",Ale
Curieux,Belgian Tripel,96.0,Allagash Brewing Company,11.0,https://www.beeradvocate.com/beer/profile/4/16909/,"multiple results, guessed best match",Other
