abv,brewer,link,name,note,score,style,category
28.0,Boston Beer Company,https://www.beeradvocate.com/beer/profile/35/25759/,Sam Utopias,"multiple results, guessed best match",100.0,American Strong Ale,Ale
5.8,Toppling Goliath Brewing Company,https://www.beeradvocate.com/beer/profile/23222/72170/,Pseudo Sue,"multiple results, guessed best match",100.0,American Pale Ale (APA),Ale
8.3,Canned Heat Craft Beer Company,https://www.beeradvocate.com/beer/profile/1199/11757/,Breakfast Brew,"multiple results, guessed best match",100.0,English Oatmeal Stout,Stout
11.3,Brasserie De Rochefort,https://www.beeradvocate.com/beer/profile/207/645/,Rochefort 10,"multiple results, guessed best match",100.0,Belgian Quadrupel (Quad),Other
8.2,Fiddlehead Brewing Company,https://www.beeradvocate.com/beer/profile/27919/127652/,Second Fiddle,"multiple results, guessed best match",99.0,American Imperial IPA,IPA
10.0,Brouwerij St Bernardus,https://www.beeradvocate.com/beer/profile/259/1708/,Abt 12,"multiple results, guessed best match",99.0,Belgian Quadrupel (Quad),Other
9.5,Brasserie Dieu Du Ciel,https://www.beeradvocate.com/beer/profile/1141/10325/,Peche Mortel,"multiple results, guessed best match",98.0,American Imperial Stout,Stout
13.6,Shovel Town Brewery,https://www.beeradvocate.com/beer/profile/33824/290407/,Crunch,"multiple results, guessed best match",98.0,American Imperial Stout,Stout
5.4,Brauerei Weihenstephan,https://www.beeradvocate.com/beer/profile/252/731/,Hefeweissbier,"multiple results, guessed best match",98.0,German Hefeweizen,Other
8.6,Singlecut Beersmiths,http://www.beeradvocate.com/search/?q=Softly+Spoken+Magic+Spells&qt=beer,Softly Spoken Magic Spells,,98.0,New England IPA,IPA
7.0,Brouwerij Rodenbach,http://www.beeradvocate.com/search/?q=Caractere+Rouge&qt=beer,Caractere Rouge,,98.0,Flanders Red Ale,Ale
9.3,Old Nation Brewing Company,https://www.beeradvocate.com/beer/profile/41783/280767/,Boss Tweed,"multiple results, guessed best match",97.0,New England IPA,IPA
8.1,Stone Brewing Company,https://www.beeradvocate.com/beer/profile/147/128500/,Xocoveza,"multiple results, guessed best match",97.0,American Imperial Stout,Stout
5.6,Brouwerij Rodenbach,http://www.beeradvocate.com/search/?q=Rodenbach+Alexander&qt=beer,Rodenbach Alexander,,97.0,Flanders Red Ale,Ale
6.7,Brauerei Ayinger,https://www.beeradvocate.com/beer/profile/39/131/,Celebrator,"multiple results, guessed best match",97.0,German Doppelbock,Other
9.2,Brasserie De Rochefort,https://www.beeradvocate.com/beer/profile/207/1696/,Rochefort 8,"multiple results, guessed best match",97.0,Belgian Strong Dark Ale,Ale
5.7,Allagash Brewing Company,https://www.beeradvocate.com/beer/profile/4/132991/,Farm To Face,"multiple results, guessed best match",97.0,American Wild Ale,Ale
6.5,Drie Fonteinen,https://www.beeradvocate.com/beer/profile/2216/235041/,Armand & Gaston,"multiple results, guessed best match",97.0,Belgian Gueuze,Other
9.0,Unibroue,https://www.beeradvocate.com/beer/profile/22/34/,La Fin Du Monde,"multiple results, guessed best match",97.0,Belgian Tripel,Other
10.5,Samuel Smith Old Brewery,https://www.beeradvocate.com/beer/profile/1199/21822/,Imperial Stout,"multiple results, guessed best match",97.0,Russian Imperial Stout,Stout
9.0,Chimay Brewery,https://www.beeradvocate.com/beer/profile/215/2512/,Chimay Grande Reserve,"multiple results, guessed best match",96.0,Belgian Strong Dark Ale,Ale
9.0,Chimay Brewery,http://www.beeradvocate.com/search/?q=Chimay+Blue&qt=beer,Chimay Blue,,96.0,Belgian Strong Dark Ale,Ale
6.3,Allagash Brewing Company,http://www.beeradvocate.com/search/?q=Coolship+Resurgam&qt=beer,Coolship Resurgam,,96.0,Belgian Gueuze,Other
8.5,Jack's Abby Craft Lagers,https://www.beeradvocate.com/beer/profile/26520/75414/,Kiwi Rising,"multiple results, guessed best match",96.0,American Imperial Pilsner,Other
13.5,Foundation Brewing Company,https://www.beeradvocate.com/beer/profile/42273/262918/,Magnus,"multiple results, guessed best match",96.0,American Imperial Stout,Stout
11.0,Allagash Brewing Company,https://www.beeradvocate.com/beer/profile/4/16909/,Curieux,"multiple results, guessed best match",96.0,Belgian Tripel,Other
6.4,Allagash Brewing Company,http://www.beeradvocate.com/search/?q=Pick+Your+Own&qt=beer,Pick Your Own,,96.0,American Wild Ale,Ale
8.0,Half Acre Beer Company,https://www.beeradvocate.com/beer/profile/18006/72269/,Daisy Cutter,"multiple results, guessed best match",96.0,American Imperial IPA,IPA
7.8,Toppling Goliath Brewing Company,http://www.beeradvocate.com/search/?q=Scorpius+Morchella&qt=beer,Scorpius Morchella,,96.0,New England IPA,IPA
8.0,Brasserie Fantome,https://www.beeradvocate.com/beer/profile/738/5057/,Fantome Saison,"multiple results, guessed best match",96.0,Belgian Saison,Other
8.7,Founders Brewing Company,https://www.beeradvocate.com/beer/profile/1199/92648/,Founders Porter,"multiple results, guessed best match",96.0,American Imperial Porter,Other
