name,style,score,rating,brewer,abv,link,note,category
Zombie Dust,Pale Ale - American,100.0,4.62,3 Floyds Brewing Company,6.2,http://www.beeradvocate.com/search/?q=Zombie+Dust&qt=beer,,Ale
The Hazy,IPA - New England,100.0,4.73,Bldg 8 Brewing,8.6,https://www.beeradvocate.com/beer/profile/28743/146770/,"multiple results, guessed best match",IPA
Darkness,Stout - Russian Imperial,100.0,4.51,Surly Brewing Company,12.0,https://www.beeradvocate.com/beer/profile/13014/33127/,"multiple results, guessed best match",Stout
King Sue,IPA - New England,100.0,4.61,Toppling Goliath Brewing Company,7.8,https://www.beeradvocate.com/beer/profile/23222/113674/,"multiple results, guessed best match",IPA
Rochefort 10,Quadrupel (Quad),100.0,4.55,Brasserie De Rochefort,11.3,https://www.beeradvocate.com/beer/profile/207/645/,"multiple results, guessed best match",Other
Breakfast Stout,Stout - Oatmeal,100.0,4.55,Founders Brewing Company,8.3,https://www.beeradvocate.com/beer/profile/1199/11757/,"multiple results, guessed best match",Stout
Permanent Funeral,IPA - Imperial,100.0,4.52,3 Floyds Brewing Company,10.5,https://www.beeradvocate.com/beer/profile/26/91670/,"multiple results, guessed best match",IPA
Second Fiddle,IPA - Imperial,99.0,4.46,Fiddlehead Brewing Company,8.2,https://www.beeradvocate.com/beer/profile/27919/127652/,"multiple results, guessed best match",IPA
Bourbon Barrel Oro Negro,Stout - American Imperial,99.0,4.5,Jackie O\'s Pub & Brewery,12.1,http://www.beeradvocate.com/search/?q=Bourbon+Barrel+Oro+Negro&qt=beer,,Stout
Abt 12,Quadrupel (Quad),99.0,4.5,Brouwerij St.bernardus,10.0,https://www.beeradvocate.com/beer/profile/259/1708/,"multiple results, guessed best match",Other
Hefeweissbier,Wheat Beer - Hefeweizen,98.0,4.45,Weihenstephan,5.4,https://www.beeradvocate.com/beer/profile/252/731/,"multiple results, guessed best match",Other
Peche Mortel,Stout - American Imperial,98.0,4.42,Dieu Du Ciel,9.5,https://www.beeradvocate.com/beer/profile/1141/10325/,"multiple results, guessed best match",Stout
Softly Spoken Magic Spells,IPA - New England,98.0,4.42,Singlecut Beersmiths,8.6,http://www.beeradvocate.com/search/?q=Softly+Spoken+Magic+Spells&qt=beer,,IPA
Christmas Bomb,Stout - American Imperial,98.0,4.53,Prairie Artisan Ales,13.0,https://www.beeradvocate.com/beer/profile/30356/258280/,"multiple results, guessed best match",Stout
Oude Gueuze Tilquin,Lambic - Gueuze,98.0,4.45,Gueuzerie Tilquin,7.6,https://www.beeradvocate.com/beer/profile/25923/140278/,"multiple results, guessed best match",Sour
